"truth","rao_blackwell_theta","rao_blackwell_se","randomized_theta","randomized_se","completion_difference","treatment","family","cell","replication"
0.405465108108164,0.440493303979878,0.0208238013302031,0.44010014552967,0.0212737303040536,-0.000393158450207376,"continuous","poisson","continuous_poisson_tlog1p5",1
0.405465108108164,0.393109781200232,0.0216385033433461,0.393470396469517,0.0217979765276911,0.000360615269284936,"continuous","poisson","continuous_poisson_tlog1p5",2
0.405465108108164,0.439869083829319,0.0197464032762701,0.44105004817582,0.0195307894212178,0.00118096434650106,"continuous","poisson","continuous_poisson_tlog1p5",3
0.405465108108164,0.384044956672098,0.0224553147305901,0.379786352340786,0.0225950851662917,-0.00425860433131259,"continuous","poisson","continuous_poisson_tlog1p5",4
0.405465108108164,0.413951147280566,0.021846159196564,0.414106092094987,0.0218827656872652,0.000154944814421687,"continuous","poisson","continuous_poisson_tlog1p5",5
0.405465108108164,0.373427887611335,0.021412506612978,0.374496473348032,0.0213056969185071,0.00106858573669721,"continuous","poisson","continuous_poisson_tlog1p5",6
0.405465108108164,0.419924689578058,0.0232907112396765,0.420512779762207,0.0233161281883834,0.000588090184148571,"continuous","poisson","continuous_poisson_tlog1p5",7
0.405465108108164,0.403956659928143,0.0204393031851885,0.406612764268299,0.0203947817792422,0.00265610434015617,"continuous","poisson","continuous_poisson_tlog1p5",8
0.405465108108164,0.432652888250706,0.0215567334366441,0.431358086606365,0.021359985296061,-0.00129480164434115,"continuous","poisson","continuous_poisson_tlog1p5",9
0.405465108108164,0.377549975214946,0.0226635624668968,0.378744947677834,0.0225945725719029,0.00119497246288813,"continuous","poisson","continuous_poisson_tlog1p5",10
0.405465108108164,0.418897008935509,0.0220753268762335,0.417903119129191,0.0221434352099223,-0.000993889806317427,"continuous","poisson","continuous_poisson_tlog1p5",11
0.405465108108164,0.371451215374659,0.0202677382795623,0.371702981258664,0.0202071018801526,0.000251765884004496,"continuous","poisson","continuous_poisson_tlog1p5",12
0.405465108108164,0.424365896020474,0.020008620589509,0.422889485019852,0.0201768834499223,-0.00147641100062196,"continuous","poisson","continuous_poisson_tlog1p5",13
0.405465108108164,0.391251102670613,0.0222126348751725,0.389475457948905,0.0220423272950097,-0.00177564472170877,"continuous","poisson","continuous_poisson_tlog1p5",14
0.405465108108164,0.480457764978973,0.018669863629103,0.479829923551043,0.0185599980892047,-0.000627841427930098,"continuous","poisson","continuous_poisson_tlog1p5",15
0.405465108108164,0.380053441555276,0.0207003686911628,0.379729441116657,0.0206952270430108,-0.000324000438619132,"continuous","poisson","continuous_poisson_tlog1p5",16
0.405465108108164,0.382776792678818,0.0221939741025136,0.382137676709639,0.0219645597359832,-0.000639115969179538,"continuous","poisson","continuous_poisson_tlog1p5",17
0.405465108108164,0.38830727172321,0.0220487686864912,0.38605638547933,0.0223670507061467,-0.00225088624388087,"continuous","poisson","continuous_poisson_tlog1p5",18
0.405465108108164,0.399277232888413,0.0234501102627548,0.400898732308041,0.0236310465270284,0.0016214994196283,"continuous","poisson","continuous_poisson_tlog1p5",19
0.405465108108164,0.388779187633623,0.0200759738406668,0.388971978927226,0.0200913261396719,0.000192791293603389,"continuous","poisson","continuous_poisson_tlog1p5",20
0.405465108108164,0.412367907599228,0.0209148274524946,0.41212239020405,0.0208867298407232,-0.000245517395177752,"continuous","poisson","continuous_poisson_tlog1p5",21
0.405465108108164,0.393326199744145,0.0214919119167157,0.392361758937525,0.0216876978125686,-0.000964440806620004,"continuous","poisson","continuous_poisson_tlog1p5",22
0.405465108108164,0.368510560851809,0.02205076497429,0.368883879799165,0.0221439000979368,0.000373318947355872,"continuous","poisson","continuous_poisson_tlog1p5",23
0.405465108108164,0.414918163787997,0.021018810079043,0.414562808773184,0.0211357511963691,-0.000355355014813263,"continuous","poisson","continuous_poisson_tlog1p5",24
